5C:62:8B:4C:05:F2 1;
5C:62:8B:9E:02:4F 2;
30:DE:4B:37:A6:63 3;
5C:62:8B:9E:21:2A 4;
5C:62:8B:9E:35:62 5;
5C:62:8B:9D:E9:69 6;
5C:62:8B:9D:F6:DC 7;
5C:62:8B:9D:D2:BE 8;
5C:62:8B:9D:E9:12 9;
5C:62:8B:D8:59:34 10;
5C:62:8B:9E:20:FD 11;
5C:62:8B:67:9F:F8 12;
5C:62:8B:9E:35:75 13;
5C:62:8B:9D:E8:DC 14;
5C:62:8B:67:9F:13 15;
5C:62:8B:9E:21:86 16;
5C:62:8B:9E:21:99 17;
5C:62:8B:9E:21:3D 18;
5C:62:8B:9E:01:79 19;
5C:62:8B:67:A4:30 20;
5C:62:8B:67:99:0F 21;
5C:62:8B:9E:0D:40 22;
5C:62:8B:67:89:0C 23;
5C:62:8B:67:E1:34 24;
5C:62:8B:67:9F:17 25;
5C:62:8B:67:99:48 26;
5C:62:8B:67:87:F5 27;
5C:62:8B:67:AA:D2 28;
5C:62:8B:67:AA:9F 29;
5C:62:8B:67:94:58 30;
5C:62:8B:67:AB:02 31;
5C:62:8B:67:68:A9 32;
5C:62:8B:67:89:E1 33;
5C:62:8B:67:A4:2F 34;
5C:62:8B:67:9F:39 35; 
5C:62:8B:67:C0:5F 36;
5C:62:8B:9D:E9:08 37;
5C:62:8B:9E:17:6B 38;
5C:62:8B:D8:37:57 39;
5C:62:8B:9E:0B:E5 40;
5C:62:8B:67:D6:69 41;
5C:62:8B:9E:02:49 42;
5C:62:8B:9D:DE:18 43;
5C:62:8B:9D:DE:36 44;

5C:62:8B:67:9B:46 61;
5C:62:8B:67:AA:A2 62;
5C:62:8B:67:E1:8B 63;

5C:62:8B:67:D2:9C 200;
